name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"Hadwin, Adam","Campbell, Brian",0.4829,0.5171,107,-107,+102,0.4582,-111,0.4007,,,,,,,,,,,,,,,,,,
"Snedeker, Brandt","Higgs, Harry",0.4846,0.5154,106,-106,+100,0.4537,-111,0.4057,,,,,,,,,,,,,,,,,,
"Hughes, Mackenzie","Kim, Michael",0.474,0.526,111,-111,,,,,+102,0.4315,,,,,,,,,,,,,,,,
"Lowry, Shane","Straka, Sepp",0.5128,0.4872,-105,105,,,,,-116,0.4676,,,,,,,,,,,,,,,,
"Kim, Si Woo","Rai, Aaron",0.5027,0.4973,-101,101,,,,,-118,0.4313,,,,,,,,,,,,,,,,
"Conners, Corey","Berger, Daniel",0.5106,0.4894,-104,104,,,,,-121,0.4433,,,,,,,,,,,,,,,,
"An, Byeong Hun","Jaeger, Stephan",0.4973,0.5027,101,-101,,,,,-119,0.4126,,,,,,,,,,,,,,,,
"Noren, Alex","Cauley, Bud",0.5105,0.4895,-104,104,,,,,-114,0.4688,,,,,,,,,,,,,,,,
"Fleetwood, Tommy","Thomas, Justin",0.5287,0.4713,-112,112,,,,,-136,0.4461,,,,,,,,,,,,,,,,
"Homa, Max","Greyserman, Max",0.4535,0.5465,121,-121,,,,,+111,0.4104,,,,,,,,,,,,,,,,
"Cantlay, Patrick","Schauffele, Xander",0.4791,0.5209,109,-109,,,,,-105,0.4144,,,,,,,,,,,,,,,,
"McCarthy, Denny","MacIntyre, Robert",0.5254,0.4746,-111,111,,,,,-117,0.5,,,,,,,,,,,,,,,,
"Spieth, Jordan","Hovland, Viktor",0.5004,0.4996,-100,100,,,,,-108,0.4641,,,,,,,,,,,,,,,,
"Kuchar, Matt","Taylor, Nick",0.5146,0.4854,-106,106,,,,,-114,0.4805,,,,,,,,,,,,,,,,
"Theegala, Sahith","Young, Cameron",0.5036,0.4964,-101,101,,,,,-112,0.4568,,,,,,,,,,,,,,,,
"Eckroat, Austin","Bridgeman, Jacob",0.521,0.479,-109,109,,,,,-130,0.4428,,,,,,,,,,,,,,,,
"Scheffler, Scottie","Morikawa, Collin",0.6861,0.3139,-219,219,,,,,-340,0.574,,,,,,,,,,,,,,,,
"Fitzpatrick, Matt","McNealy, Maverick",0.4699,0.5301,113,-113,,,,,-101,0.4051,,,,,,,,,,,,,,,,
"Scott, Adam","Bezuidenhout, Christiaan",0.4947,0.5053,102,-102,,,,,-109,0.4434,,,,,,,,,,,,,,,,
"Im, Sungjae","Aberg, Ludvig",0.4937,0.5063,103,-103,,,,,+103,0.4959,,,,,,,,,,,,,,,,
"Finau, Tony","McCarthy, Denny",0.4757,0.5243,110,-110,,,,,,,,,,,-105,0.4046,,,,,,,,,,
"Kim, Si Woo","Conners, Corey",0.4961,0.5039,102,-102,,,,,,,,,,,+110,0.538,,,,,,,,,,
"McNealy, Maverick","Burns, Sam",0.5201,0.4799,-108,108,,,,,,,,,,,-115,0.4926,,,,,,,,,,
"Noren, Alex","Bhatia, Akshay",0.5126,0.4874,-105,105,,,,,,,,,,,-120,0.4525,,,,,,,,,,
"Im, Sungjae","Rai, Aaron",0.4596,0.5404,118,-118,,,,,,,,,,,+105,0.4017,,,,,,,,,,
"Straka, Sepp","Fitzpatrick, Matt",0.5404,0.4596,-118,118,,,,,,,,,,,-140,0.4667,,,,,,,,,,
"Matsuyama, Hideki","Spieth, Jordan",0.5164,0.4836,-107,107,,,,,,,,,,,-115,0.4817,,,,,,,,,,
"Homa, Max","Novak, Andrew",0.4259,0.5741,135,-135,,,,,,,,,,,+130,0.4055,,,,,,,,,,
"Lowry, Shane","Thomas, Justin",0.5231,0.4769,-110,110,,,,,,,,,,,,,,,,,,,+115,0.6478,,
"Straka, Sepp","Berger, Daniel",0.4837,0.5163,107,-107,,,,,,,,,,,,,,,,,,,+100,0.4511,,
"Finau, Tony","Burns, Sam",0.509,0.491,-104,104,,,,,,,,,,,,,,,,,,,-130,0.4095,,
"Scheffler, Scottie","Schauffele, Xander",0.6794,0.3206,-212,212,,,,,,,,,,,,,,,,,,,-340,0.5586,,
"Cauley, Bud","Schmid, Matti",0.5435,0.4565,-119,119,,,,,,,,,,,,,,,,,,,-155,0.4377,,
"Spaun, J.J.","McCarthy, Denny",0.5028,0.4972,-101,101,,,,,,,,,,,,,,,,,,,-115,0.4428,,
"Thomas, Justin","Morikawa, Collin",0.466,0.534,115,-115,,,,,,,,,,,,,-105,0.3758,,,,,,,,
"Fleetwood, Tommy","Aberg, Ludvig",0.5321,0.4679,-114,114,,,,,,,,,,,,,-175,0.3682,,,,,,,,
"Finau, Tony","Kim, Si Woo",0.4555,0.5445,120,-120,,,,,,,,,,,,,+100,0.3666,,,,,,,,
"Spieth, Jordan","Berger, Daniel",0.485,0.515,106,-106,,,,,,,,,,,,,-105,0.4318,,,,,,,,
